Date,Open,High,Low,Close,Volume
2016-03-18,156.255,156.454,153.12,155.17,52922967.706482
2016-03-21,155.857,155.957,154.394,155.359,18943644.093206
2016-03-22,157.141,157.141,155.26,156.753,20296999.284251
2016-03-23,157.041,157.141,155.658,156.952,15708934.092076
2016-03-24,156.255,157.041,154.981,156.056,18765040.029717
2016-03-29,156.255,156.255,154.294,154.583,17116490.002109
2016-03-30,156.255,156.753,155.17,155.459,21197902.502345
2016-03-31,156.554,156.554,154.394,155.658,17823102.726967
2016-04-01,156.852,156.852,155.081,155.757,16317234.607647
2016-04-05,154.294,154.294,151.726,153.906,14754949.394265
2016-04-06,154.882,156.355,154.294,156.255,18071938.55236
2016-04-07,157.141,159.201,156.852,159.002,22153584.143719
2016-04-08,157.738,158.226,156.454,157.24,15429790.392492
2016-04-11,155.459,158.037,155.459,156.753,9566851.3884595
2016-04-12,157.141,157.44,156.454,157.24,12528835.733509
2016-04-13,159.201,161.859,158.425,161.66,33109672.690301
2016-04-14,162.645,164.307,158.724,162.157,25745383.716861
2016-04-15,161.66,162.645,160.585,162.456,11608808.996308
2016-04-18,162.157,163.143,161.272,162.844,9276746.3778816
2016-04-19,162.745,163.63,160.585,162.844,13876469.140309
2016-04-20,162.645,162.645,158.724,159.102,15749862.682905
2016-04-21,160.187,161.471,159.301,160.674,13349938.397224
2016-04-22,158.226,160.187,157.44,159.988,8971538.670067
2016-04-25,157.639,158.226,156.852,157.141,10917428.575389
2016-04-26,158.226,159.201,156.056,159.002,8798576.0145726
2016-04-27,157.44,157.539,155.658,156.753,11752550.866383
2016-04-28,157.937,159.788,157.24,158.226,18986352.013253
2016-04-29,157.24,157.539,156.056,156.156,11095276.097433
2016-05-03,156.156,156.156,152.423,152.622,15606994.904541
2016-05-04,153.02,153.02,150.761,151.826,16662482.748735
2016-05-05,150.363,152.025,149.865,150.562,13893086.929844
2016-05-06,150.661,152.821,149.577,151.239,16163107.121464
2016-05-09,152.821,153.12,151.527,152.423,9589927.4096232
2016-05-10,151.627,154.006,151.627,153.707,12055466.84639
2016-05-11,155.658,155.658,153.319,153.807,11788690.037458
2016-05-12,153.906,153.906,151.338,151.527,13509642.990402
2016-05-13,152.921,153.608,151.04,152.423,18409768.970345
2016-05-16,153.409,157.539,153.12,157.141,21954589.630495
2016-05-17,159.49,161.471,158.126,160.087,23028379.146646
2016-05-18,158.226,159.589,157.24,158.325,21020968.255434
2016-05-19,152.622,156.355,152.622,154.493,35894320.907193
2016-05-20,152.622,156.454,152.622,155.757,19522316.918595
2016-05-23,156.852,158.813,156.056,156.355,12430113.60535
2016-05-24,157.24,158.226,156.852,157.738,12544468.913991
2016-05-25,160.187,161.958,159.988,161.66,21958794.313034
2016-05-26,162.058,162.058,159.689,160.973,14711558.2761
2016-05-27,162.157,168.826,161.66,168.239,41999398.385649
2016-05-30,168.239,169.523,166.477,166.975,22134755.002626
2016-05-31,169.025,170.707,168.04,170.309,57221645.246103
2016-06-01,169.025,169.911,166.875,167.472,17654480.388933
2016-06-02,167.074,167.572,165.492,167.273,21838817.690461
2016-06-03,167.373,169.324,166.577,167.861,27925424.706836
2016-06-06,167.174,171.006,167.174,170.807,17420569.428325
2016-06-07,171.991,173.743,171.493,173.544,17557608.923914
2016-06-08,173.544,173.544,171.593,172.857,19203144.842174
2016-06-10,175.425,175.425,171.792,172.091,20754854.550559
2016-06-13,167.174,168.826,166.278,166.577,21540887.047314
2016-06-14,165.89,166.477,164.705,165.392,18043036.257828
2016-06-15,164.805,171.105,164.407,170.01,19171291.73459
2016-06-16,169.811,170.01,165.492,165.89,15358841.272563
2016-06-17,167.572,168.338,164.606,165.989,18194266.180224
2016-06-20,167.074,168.239,166.089,167.771,9593763.3661193
2016-06-21,169.025,170.309,168.04,169.911,10261318.25735
2016-06-22,170.11,174.838,169.911,174.041,19978889.179023
2016-06-23,172.957,173.355,170.309,173.056,12451534.880482
2016-06-24,171.792,174.539,165.193,170.807,31131562.960758
2016-06-27,167.174,169.125,167.174,167.95,15936237.120292
2016-06-28,164.118,167.861,164.118,167.572,18266972.525902
2016-06-29,167.472,169.722,167.472,169.423,13790833.270234
2016-06-30,171.892,173.544,170.707,173.056,17213958.260779
2016-07-04,175.037,176.41,173.942,175.823,16512860.351324
2016-07-05,175.913,175.913,173.056,173.355,9729901.6430133
2016-07-06,171.105,172.469,170.01,171.304,11864718.93634
2016-07-07,171.991,174.34,171.593,173.255,8156604.8834824
2016-07-08,174.141,175.325,173.355,173.942,14067525.494216
2016-07-11,176.798,177.674,176.112,176.898,13074080.076828
2016-07-12,178.57,178.57,175.425,177.774,14082464.424845
2016-07-13,177.674,178.57,177.276,178.073,11406088.039227
2016-07-14,177.475,180.82,176.798,180.342,12893813.229682
2016-07-15,181.118,182.979,179.944,181.616,15760975.704068
2016-07-18,180.82,182.591,180.541,181.805,10208977.24383
2016-07-19,181.317,181.805,179.944,180.143,11989635.684134
2016-07-20,181.218,182.79,180.342,182.392,13562917.373118
2016-07-21,182.979,183.278,181.118,181.417,15055142.628829
2016-07-22,181.805,182.392,180.441,182.004,7934193.7547377
2016-07-25,183.676,184.761,182.004,184.761,7916511.9846028
2016-07-26,182.979,186.423,182.979,183.079,14974943.207313
2016-07-27,182.79,185.746,182.79,185.746,12300638.51952
2016-07-28,184.273,186.135,183.378,185.746,11850573.721173
2016-07-29,185.846,186.513,183.278,183.278,13585642.752894
2016-08-01,183.776,184.462,181.019,181.317,21092450.872717
2016-08-03,178.859,179.844,178.371,178.371,18735153.126131
2016-08-04,179.546,180.441,178.57,179.446,9808875.3267277
2016-08-05,179.844,182.89,179.356,181.417,10208744.152707
2016-08-08,182.979,185.647,182.979,185.547,12116462.37255
2016-08-09,185.249,186.234,184.273,184.96,8276067.0980603
2016-08-10,183.875,185.746,183.776,184.761,7636294.2573875
2016-08-11,183.577,185.448,183.577,185.448,11588607.430759
2016-08-12,187.21,188.195,184.273,184.562,18471631.555294
2016-08-15,184.761,188.394,184.761,187.807,13422165.499516
2016-08-16,192.126,194.087,190.255,192.027,25000553.090181
2016-08-17,192.027,194.485,188.394,189.668,18797515.048529
2016-08-18,201.462,201.462,196.257,199.502,42039316.245143
2016-08-19,201.462,201.462,198.118,198.317,12785864.912811
2016-08-22,198.516,201.263,197.919,201.263,11653914.137989
2016-08-23,200.676,201.861,198.914,200.099,9075873.0698303
2016-08-24,200.099,201.064,196.944,197.531,13860668.174407
2016-08-25,198.516,198.516,196.058,196.058,11184670.561864
2016-08-26,195.759,199.104,195.759,196.944,8229719.1386254
2016-08-29,197.332,198.715,196.556,197.919,10014318.02455
2016-08-30,199.303,201.462,198.516,201.263,11954419.835222
2016-08-31,201.462,201.462,197.531,198.317,15586433.655276
2016-09-01,197.531,199.9,197.332,199.104,13844824.006271
2016-09-02,199.104,201.064,197.73,198.317,16715936.973308
2016-09-05,201.064,206.967,200.099,206.568,19234127.876859
2016-09-06,206.369,213.068,205.394,211.286,19391728.621712
2016-09-07,212.272,212.67,207.554,209.525,17916163.353068
2016-09-08,207.942,212.272,207.753,211.286,15765707.855744
2016-09-09,210.898,212.471,208.539,210.112,20633675.298356
2016-09-12,206.369,206.967,202.836,203.433,20270939.294833
2016-09-13,205.394,207.942,203.632,204.409,15129250.535353
2016-09-14,203.035,205.991,203.035,204.996,7831054.9516822
2016-09-15,204.409,208.539,204.409,206.19,18375066.524725
2016-09-19,208.141,208.539,204.02,205.792,18713670.564109
2016-09-20,206.369,206.568,204.409,205.394,12349912.174428
2016-09-21,204.996,207.753,204.02,207.554,11717037.625348
2016-09-22,210.311,212.073,209.525,210.898,18157741.203153
2016-09-23,209.724,216.999,208.937,214.441,25414176.301815
2016-09-26,213.655,213.655,208.539,209.326,18909823.776922
2016-09-27,211.286,213.655,210.311,212.073,15000446.591204
2016-09-28,210.311,213.466,210.311,212.869,8308526.0416225
2016-09-29,214.242,214.641,212.272,213.854,11317315.486024
2016-09-30,211.475,213.068,209.326,209.326,15122327.126182
2016-10-03,212.67,213.854,211.874,213.068,10195000.818786
2016-10-04,213.466,213.854,211.674,213.655,7867395.0633807
2016-10-05,212.869,213.655,212.073,213.655,6773219.1163062
2016-10-06,214.242,214.242,212.869,213.655,10850969.473685
2016-10-07,212.869,213.655,211.674,212.471,9051476.8687725
2016-10-11,213.655,214.441,210.699,212.073,12928845.217924
2016-10-12,209.923,210.51,207.365,209.724,16957817.239031
2016-10-13,207.365,209.525,205.792,206.369,17182261.886882
2016-10-14,204.797,207.365,204.797,205.394,14271519.410145
2016-10-17,205.394,206.369,203.632,205.195,9941405.7147328
2016-10-18,205.792,209.525,205.394,208.738,12478168.555379
2016-10-19,207.753,210.699,207.753,209.136,7715453.8111782
2016-10-20,210.311,211.674,209.724,210.51,8375780.8681942
2016-10-24,210.112,211.674,208.539,211.674,15844967.879846
2016-10-25,212.471,212.471,211.097,211.097,8521370.3872985
