Date,Open,High,Low,Close,Volume
2012-06-06,0.38126,0.40985,0.38032,0.40815,37707233
2012-06-07,0.42235,0.42737,0.38986,0.39157,35083677
2012-06-08,0.38421,0.41016,0.38282,0.40878,23809205
2012-06-11,0.42549,0.42737,0.38407,0.38548,31741733
2012-06-12,0.39109,0.41205,0.38986,0.41174,38400155
2012-06-13,0.40595,0.41565,0.39315,0.39767,22913000
2012-06-14,0.39907,0.40268,0.38188,0.39643,22732871
2012-06-15,0.39751,0.41581,0.39674,0.41423,17480774
2012-06-18,0.40658,0.43939,0.40658,0.43361,34115552
2012-06-19,0.44409,0.45377,0.43579,0.44688,24893257
2012-06-20,0.45031,0.46704,0.44768,0.46204,41674608
2012-06-21,0.45721,0.45783,0.40315,0.40423,51416182
2012-06-22,0.41095,0.42566,0.4094,0.42095,23341952
2012-06-25,0.41033,0.41063,0.37845,0.3811,40342604
2012-06-26,0.38548,0.39094,0.37157,0.38375,26391817
2012-06-27,0.38986,0.40315,0.38595,0.39954,25270679
2012-06-28,0.38657,0.3958,0.37579,0.39157,32131767
2012-06-29,0.42095,0.44142,0.41846,0.44065,52074629
2012-07-02,0.44923,0.45221,0.43113,0.43892,18865882
2012-07-03,0.44377,0.45893,0.43971,0.45893,19367519
2012-07-05,0.44891,0.45282,0.43315,0.44644,18241382
2012-07-06,0.43424,0.43579,0.40236,0.41377,32490315
2012-07-09,0.40908,0.41517,0.39315,0.39938,27407161
2012-07-10,0.39033,0.40408,0.36409,0.37141,51658126
2012-07-11,0.37469,0.37784,0.35471,0.35987,36773026
2012-07-12,0.35221,0.35265,0.3339,0.34359,52288242
2012-07-13,0.3461,0.35579,0.34407,0.35235,32054862
2012-07-16,0.34752,0.34752,0.33297,0.34064,29605205
2012-07-17,0.34688,0.34767,0.31907,0.33595,53096176
2012-07-18,0.33173,0.37704,0.33064,0.37002,88178562
2012-07-19,0.38595,0.40205,0.38595,0.3936,57665185
2012-07-20,0.3922,0.39439,0.37347,0.37392,32637458
2012-07-23,0.35002,0.36893,0.33688,0.36284,38512028
2012-07-24,0.36564,0.36846,0.34845,0.3594,32179723
2012-07-25,0.36704,0.39298,0.3669,0.37845,46921704
2012-07-26,0.40205,0.41329,0.39377,0.40502,45190314
2012-07-27,0.41095,0.43672,0.40486,0.43315,47277309
2012-07-30,0.43361,0.44328,0.4144,0.42173,22440582
2012-07-31,0.43533,0.44672,0.42972,0.43173,68260308
2012-08-01,0.43892,0.44392,0.42188,0.43098,21870449
2012-08-02,0.41814,0.44688,0.41314,0.42691,23219329
2012-08-03,0.44688,0.46096,0.43752,0.45314,27313667
2012-08-06,0.46173,0.46831,0.45767,0.46111,16414770
2012-08-07,0.47002,0.49997,0.47002,0.48893,33793475
2012-08-08,0.48443,0.49642,0.48191,0.49549,16584509
2012-08-09,0.49281,0.5073,0.4922,0.5045,15817911
2012-08-10,0.5031,0.5128,0.49971,0.5111,14100800
2012-08-13,0.5111,0.5111,0.48269,0.5013,18413479
2012-08-14,0.5102,0.5113,0.48128,0.48754,22466243
2012-08-15,0.47611,0.5027,0.47611,0.4958,14664325
2012-08-16,0.49565,0.5219,0.4944,0.5216,15298392
2012-08-17,0.5185,0.5185,0.5036,0.5111,17270870
2012-08-20,0.5073,0.508,0.48738,0.49768,64021439
2012-08-21,0.5033,0.5186,0.49344,0.49878,15422036
2012-08-22,0.4911,0.49534,0.47862,0.4883,17657390
2012-08-23,0.48411,0.48582,0.4697,0.47847,13569193
2012-08-24,0.47346,0.48971,0.46878,0.48628,12106908
2012-08-27,0.49127,0.49174,0.47423,0.48191,8500080
2012-08-28,0.47597,0.4866,0.47346,0.48065,11217086
2012-08-29,0.47893,0.48738,0.47034,0.48159,9351646
